COD,NIVEL,RECORTE,TEMA,SUB_TEMA,Mapas,Gráficos,LAYOUT
1,estadual,Parana,população,densidade demográfica,dens_demog_PR_sem_munted_IBGE_2022_land_a4.png,"densid_demog_munTED_mediaPR_IBGE_2022.jpg,  densid_demog_munTED_mediaPR_IBGE_2022.jpg",densid_demo.txt
2,estadual,Parana,população,população residente,pop_residente_PR_munTED_IBGE_2022_land_a4.png,"pop_mun_munTED_IBGER_2022.jpg, pop_comp_munTED_mediaPR_IBGE_2022.png  ",populacao.txt
3,municipal,Palmas,população,população residente,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,pop_censo22_palmas.txt
4,estadual,Parana,usodosolo,geral,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,usodosolo.txt
5,estadual,Parana,ambiental,floresta,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,floresta.txt
6,municipal,Guaraquecaba,população,população residente,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres.txt
7,municipal,Bocaiuvadosul,população,população residente,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres.txt
8,municipal,Adrianopolis,população,população residente,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres.txt
8,municipal,Adrianopolis,população,população residente e raça,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres_raca.txt
9,municipal,Guaraquecaba,população,população residente e raça,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres_raca.txt
10,municipal,Bocaiuvadosul,população,população residente e raça,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres_raca.txt
11,municipal,Palmas,população,população residente e raça,"pop_residente_2010_PerUrb.png, pop_residente_2022_Palmas.png",piram_pop_palmas.png,popres_raca.txt
12,municipal,Palmas,população,renda,rend_mes_dom_total_Palmas_2010.png;renda_Palmas_ibge2010.png; prop_rend_mes_dom_2010_PerUrb.png,nenhum,pop_renda.txt
13,municipal,Guaraquecaba,população,renda,rend_mes_dom_total_Guaraquecaba_2010.png;renda_Guaraquecaba_ibge2010.png;prop_rend_mes_dom_Guaraquecaba_2010.png,nenhum,pop_renda.txt
14,municipal,Bocaiuvadosul,população,renda,rend_mes_dom_total_Bocaiuva_2010.png;renda_Bocaiuva_ibge2010.png;prop_rend_mes_dom_Bocaiuva_2010.png,nenhum,pop_renda.txt
15,municipal,Adrianopolis,população,renda,rend_mes_dom_total_Adrianopolis_2010.png;renda_Adrianopolis_ibge2010.png;prop_rend_mes_dom_Adrianopolis_2010.png,nenhum,pop_renda.txt
16,municipal,Palmas,população,renda e raça,rend_mes_dom_total_Palmas_2010.png;renda_Palmas_ibge2010.png; prop_rend_mes_dom_2010_PerUrb.png,nenhum,pop_renda_raca.txt
17,municipal,Guaraquecaba,população,renda e raça,rend_mes_dom_total_Guaraquecaba_2010.png;renda_Guaraquecaba_ibge2010.png;prop_rend_mes_dom_Guaraquecaba_2010.png,nenhum,pop_renda_raca.txt
18,municipal,Bocaiuvadosul,população,renda e raça,rend_mes_dom_total_Bocaiuva_2010.png;renda_Bocaiuva_ibge2010.png;prop_rend_mes_dom_Bocaiuva_2010.png,nenhum,pop_renda_raca.txt
19,municipal,Adrianopolis,população,renda e raça,rend_mes_dom_total_Adrianopolis_2010.png;renda_Adrianopolis_ibge2010.png;prop_rend_mes_dom_Adrianopolis_2010.png,nenhum,pop_renda_raca.txt
20,municipal,Bocaiuvadosul,urbanização,área urbanizada,urbanizacao_Bocaiuva_mapbiomas_2023.png,nenhum,area_urbanizada.txt
21,municipal,Adrianopolis,urbanização,área urbanizada,urbanizacao_Adrianopolis_mapbiomas_2023.png,nenhum,area_urbanizada.txt
22,municipal,Palmas,urbanização,área urbanizada,urbanizacao_Palmas_mapbiomas_2023.png,nenhum,area_urbanizada.txt
23,municipal,Guaraquecaba,urbanização,área urbanizada,urbanizacao_Guaraquecaba_mapbiomas_2023.png,nenhum,area_urbanizada.txt
